"Store Authorization","Store Autorisierung"
"Enable Authorization","Aktiviere Autorisierung"
"Allowed Customer Groups","Erlaubte Kundengruppen"
"Public CMS Pages","Öffentliche CMS Seiten"
"Public Actions","Öffentliche Funktionen"
"Accepts only regular expressions.","Nur reguläre Ausdrücke erlaubt."
"Redirect Guests to","Gäste weiterleiten zu"
"Redirect Banned Customers to","Ausgeschlossene Kunden weiterleiten zu"
"Error URL","Fehler URL"
"Error Page","Fehler Seite"
"Displayed when access is denied.","Wird angezeigt bei Zugriffsverweigerung."
"Error Message","Fehler Nachricht"
"Displayed only after redirect to login.","Wird nur bei Weiterleitung zur Anmeldung angezeigt."
