"Store Authorization","Store Authorization"
"Enable Authorization","Enable Authorization"
"Allowed Customer Groups","Allowed Customer Groups"
"Public CMS Pages","Public CMS Pages"
"Public URLs","Public URLs"
"Regular expression, e.g. '/customer\/account\/login.*/'.","Regular expression, e.g. '/customer\/account\/login.*/'."
"Redirect Guests to","Redirect Guests to"
"Redirect Banned Customers to","Redirect Banned Customers to"
"Error URL","Error URL"
"Displayed when access is denied, e.g. 'customer/account/login'.","Displayed when access is denied, e.g. 'customer/account/login'."
"Error Page","Error Page"
"Displayed when access is denied.","Displayed when access is denied."
"Error Message","Error Message"
"Displayed only after redirect to login.","Displayed only after redirect to login."
